Pot ,Soil Inoc,soil elev ,soil treat,soil treat 2,Live inoc,Seed elev ,elev treat ,Planted,Inoculated,Large pot,harvest/inoc week,harvest date ,No_days,Initial Height (cm),initial AG biomass (g),Final height (cm),Final AG biomass (g),F-I AG biomass (g),Final BG biomass (g),Total biomass final (g),Sterile average ,PSFu,Sterile avg new ,PSFunew,PSF ,Sterile average AG,PSF Agu,Sterile average AG new ,PSF Agunew,PSF AG,Sterile average BG,PSF Bgu,Sterile average BG new ,PSF Bgunew,PSF BG,Leaf fresh weight (g) ,Leaf dry weight (g) ,Pixels,Leaf area (cm2),Photo by ,SLA (cm2/g),LDMC (g/g),CBH activity inoc,NAG activity inoc,Sterile average _SLA,SLA.mic,Sterile average _LDMC,LDMC.mic,X.15N,Sterile average _N15,N15.mic,X.13C,Sterile average _C13,C13.mic,Wt..N.,Sterile_average_N,N.mic,Wt..C.,Sterile_average_C,C.mic ,C.N.ratio,Sterile average _Cnratio,CNratio.mic,Biomass eqn
10,1.4 GC,3100,GC,S,1,3100,3100GC,9/1/2016,10/10/2016,11/19/2016,1,2/13/2017,126,1.4,0.003696,6.25,0.143,0.139304,0.24642,0.385724,,-0.060549343,,-0.065611683,-0.191123675,,-0.089413973,,-0.349416406,-0.291196434,,0.822282697,,0.240239069,-0.120964577,0.03563,0.00556,28899,244.9067797,AT,6873.611554,0.156048274,126.053,90.096,1.4 GC,0.415700358,,-0.053459267,2.6092751,,0.198872719,-35.2024398,,0.010216386,1.630172328,,-0.229697257,40.57406059,,-0.050596688,24.88943034,,0.179338847,y = 0.0021x2 - 0.0028x + 0.0035
7,2.4 GC,3100,GC,S,1,3100,3100GC,9/1/2016,10/10/2016,11/19/2016,1,2/13/2017,126,1.5,0.004025,4,0.05557,0.051545,0.21945,0.270995,,-0.339977728,,-0.343534336,0.784811044,,-0.663066698,,-0.759272301,-0.342487946,,0.622838803,,0.10449827,1.988153595,0.01562,0.00323,12667,107.3474576,AT,6872.436468,0.206786172,197.7005911,106.2950955,2.4 GC,0.415458335,,0.254301184,3.0977537,,0.287479058,-35.558875,,0.020445128,2.521832639,,0.191637574,43.94519093,,0.028285294,17.42589506,,-0.174306736,y = 0.0021x2 - 0.0028x + 0.0035
9,3.4 GC,3100,GC,S,1,3100,3100GC,9/1/2016,10/10/2016,11/19/2016,1,2/13/2017,126,1.7,0.004809,5.5,0.18285,0.178041,0.27343,0.451471,,0.09958086,,0.093655639,0.761020248,,0.163797499,,-0.168505186,0.372724539,,1.022022392,,0.376181189,1.158601089,0.01115,0.00167,7615,64.53389831,AT,5787.79357,0.149775785,93.18566139,36.35487362,3.4 GC,0.192063497,,-0.091506252,6.9714091,,0.990130969,-34.6687996,,-0.005097668,2.605237527,,0.231048753,40.87990889,,-0.043440062,15.69143254,,-0.25649098,y = 0.0021x2 - 0.0028x + 0.0035
6,6.4 GC,3100,GC,S,1,3100,3100GC,9/1/2016,10/10/2016,11/19/2016,1,2/13/2017,126,1.5,0.004025,10,0.32057,0.316545,0.33128,0.647825,,0.577811134,,0.569308913,1.08672222,,1.069154179,,0.478342213,0.67226651,,1.449824738,,0.667341931,1.734235721,0.01371,0.00339,9618,81.50847458,AT,5945.184141,0.24726477,123.0719619,61.253,6.4 GC,0.224479918,,0.499831883,2.8354226,,0.239894172,-34.1149074,,-0.020992901,3.021082134,,0.427547145,45.72096571,,0.069837124,15.13396977,,-0.282905305,y = 0.0021x2 - 0.0028x + 0.0035
8,7.4 GC,3100,GC,S,1,3100,3100GC,9/1/2016,10/10/2016,11/19/2016,1,2/13/2017,126,1.6,0.004396,5,0.0875,0.083104,0.27091,0.354014,,-0.13778068,,-0.142426851,0.441859518,,-0.456775533,,-0.611884088,-0.514000327,,1.003386923,,0.363497955,2.634912116,0.01691,0.00289,11307,95.8220339,AT,5666.589822,0.17090479,75.34859504,53.49016254,7.4 GC,0.167100174,,0.03665578,4.5018784,,0.542176702,-34.9533402,,0.00306789,2.105148272,,-0.005257629,41.45779006,,-0.029918065,19.69352497,,-0.066859357,y = 0.0021x2 - 0.0028x + 0.0035
4,1.2 SC,3100,SC,S,1,3100,3100SC,9/1/2016,10/10/2016,11/19/2016,1,2/13/2017,126,1.9,0.005761,5.5,0.32458,0.318819,0.20237,0.521189,,0.269382638,,0.26254242,-0.260739503,,-0.162280815,,0.488962347,0.11986554,,-0.440633085,,0.01853413,-0.518533498,0.0152,0.00233,8429,71.43220339,AT,4699.487065,0.153289474,254.6425293,84.86328555,1.2 SC,-0.286690768,,-0.184030677,1.4333081,,-0.244787075,-35.3583802,,0.047296673,2.123451945,,0.085366937,41.20361112,,-0.041064671,19.40407045,,-0.136851484,y = 0.0021x2 - 0.0028x + 0.0035
5,2.2 SC,3100,SC,S,1,3100,3100SC,9/1/2016,10/10/2016,11/19/2016,1,2/13/2017,126,2.4,0.008876,6,0.2175,0.208624,0.2973,0.505924,,0.232203944,,0.225564068,-0.486139423,,-0.451825872,,-0.02567513,-0.636578377,,-0.178238949,,0.496319597,-0.275761267,0.01979,0.00387,12050,102.1186441,AT,5160.113394,0.19555331,482.6617922,419.270834,2.2 SC,-0.216774837,,0.040942328,2.6736015,,,-34.4460276,,,1.546337425,,,43.52010042,,,28.14398703,,,y = 0.0021x2 - 0.0028x + 0.0035
2,3.2 SC,3100,SC,S,1,3100,3100SC,9/1/2016,10/10/2016,11/19/2016,1,2/13/2017,126,2.4,0.008876,7,0.12967,0.120794,0.13982,0.260614,,-0.365261188,,-0.368681553,-0.596887258,,-0.68260533,,-0.435862613,-0.625507667,,-0.613526303,,-0.29628185,-0.568390184,0.01019,0.0018,6436,54.54237288,AT,5352.539046,0.176643768,525.5387957,335.0362741,3.2 SC,-0.187567609,,-0.05971433,-1.0080798,,-0.584132399,-35.2004146,,0.042617815,2.591790398,,0.324750303,43.79047046,,0.019139538,16.89583791,,-0.248424837,y = 0.0021x2 - 0.0028x + 0.0035
1,6.2 SC,3100,SC,S,1,3100,3100SC,9/1/2016,10/10/2016,11/19/2016,1,2/13/2017,126,2,0.0063,11.5,0.376,0.3697,0.47664,0.84634,,1.061304635,,1.050197052,0.67160111,,-0.028587434,,0.726589004,0.575907415,,0.317471198,,1.398943064,0.754223253,0.01569,0.00313,11145,94.44915254,AT,6019.703795,0.199490121,171.8700419,88.87835723,6.2 SC,-0.08630235,,0.061898215,-0.0220767,,-0.447081035,-35.660135,,0.056234492,1.650366073,,-0.156442992,42.85725954,,-0.002579163,25.9683353,,0.155145779,y = 0.0021x2 - 0.0028x + 0.0035
3,7.2 SC,3100,SC,S,1,3100,3100SC,9/1/2016,10/10/2016,11/19/2016,1,2/13/2017,126,2,0.0063,7,0.19186,0.18556,0.3302,0.51576,,0.256160029,,0.249391062,-0.40679126,,-0.512428143,,-0.133389625,-0.618974088,,-0.08730071,,0.66190626,-0.13659659,0.012,0.00213,7395,62.66949153,AT,5222.457627,0.1775,358.6782898,232.0121877,7.2 SC,-0.20731195,,-0.055156555,5.8085084,,0.363352158,-34.394385,,0.018743641,1.996973204,,0.020719445,44.44675151,,0.034413226,22.25705955,,-0.009942374,y = 0.0021x2 - 0.0028x + 0.0035
