,S9,S36,S3,S2,S1,S7,S6,S5,S30,S8,S33,S32,S4,S19,S18,S39,S38,S13,S12,S11,S10,S17,S16,S15,S14,S22,S23,S20,S21,S26,S27,S24,S25,S28,S29,S35,S34,S40,S31,S37
S9,0,0.747571429,0.348238095,0.559809524,0.646952381,0.71252381,0.559190476,0.81452381,0.764142857,0.619904762,0.633,0.729380952,0.38252381,0.552809524,0.350190476,0.707285714,0.781142857,0.714857143,0.560714286,0.577428571,0.384857143,0.619142857,0.519857143,0.631238095,0.390571429,0.77947619,0.701571429,0.78447619,0.761095238,0.683047619,0.566428571,0.849904762,0.76,0.521952381,0.81752381,0.65452381,0.763142857,0.68552381,0.759142857,0.864714286
S36,0.747571429,0,0.758142857,0.740380952,0.491190476,0.67852381,0.572285714,0.557619048,0.498666667,0.438666667,0.477238095,0.481,0.598809524,0.592904762,0.704761905,0.591619048,0.600142857,0.348,0.524714286,0.563047619,0.52852381,0.516809524,0.711428571,0.641047619,0.714047619,0.470714286,0.482666667,0.429285714,0.515571429,0.652904762,0.580238095,0.853761905,0.319571429,0.740619048,0.475666667,0.328857143,0.520047619,0.423047619,0.490095238,0.835142857
S3,0.348238095,0.758142857,0,0.576761905,0.638333333,0.729571429,0.527190476,0.763761905,0.730380952,0.632380952,0.676619048,0.751,0.310809524,0.516666667,0.377380952,0.731190476,0.787428571,0.703571429,0.536047619,0.574047619,0.363714286,0.588,0.464571429,0.539,0.346571429,0.784333333,0.710047619,0.790333333,0.730666667,0.759809524,0.515571429,0.887904762,0.73752381,0.502952381,0.809714286,0.704952381,0.754380952,0.680380952,0.757666667,0.851190476
S2,0.559809524,0.740380952,0.576761905,0,0.667380952,0.700809524,0.61647619,0.640380952,0.744190476,0.621952381,0.637333333,0.742952381,0.583904762,0.569380952,0.545904762,0.765190476,0.830095238,0.707047619,0.549666667,0.559142857,0.580809524,0.645047619,0.635428571,0.66452381,0.548333333,0.798857143,0.725,0.78947619,0.776857143,0.603047619,0.581285714,0.848619048,0.725095238,0.650285714,0.78152381,0.666761905,0.704809524,0.689333333,0.724047619,0.806428571
S1,0.646952381,0.491190476,0.638333333,0.667380952,0,0.670190476,0.333,0.545333333,0.453952381,0.402952381,0.576142857,0.526285714,0.502761905,0.592,0.579380952,0.691142857,0.564428571,0.37952381,0.439952381,0.566857143,0.443,0.504904762,0.552,0.506714286,0.621666667,0.521238095,0.425809524,0.607,0.505666667,0.743809524,0.471142857,0.85752381,0.445952381,0.543380952,0.688190476,0.557047619,0.683380952,0.51752381,0.626619048,0.89347619
S7,0.71252381,0.67852381,0.729571429,0.700809524,0.670190476,0,0.666238095,0.742619048,0.699285714,0.617,0.660809524,0.649190476,0.673238095,0.768190476,0.704904762,0.772285714,0.70147619,0.660142857,0.627809524,0.678285714,0.666285714,0.695952381,0.671666667,0.684333333,0.670190476,0.701666667,0.670571429,0.704857143,0.69047619,0.775285714,0.641857143,0.898428571,0.690619048,0.71147619,0.747285714,0.648952381,0.746666667,0.65752381,0.637190476,0.850857143
S6,0.559190476,0.572285714,0.527190476,0.61647619,0.333,0.666238095,0,0.550047619,0.405047619,0.475428571,0.640190476,0.506619048,0.387333333,0.55747619,0.475666667,0.768142857,0.550666667,0.48547619,0.423,0.595571429,0.339714286,0.534571429,0.459619048,0.468952381,0.488761905,0.544571429,0.464238095,0.70352381,0.50352381,0.798857143,0.420190476,0.873190476,0.572190476,0.509904762,0.761666667,0.645142857,0.765238095,0.579904762,0.701666667,0.870285714
S5,0.81452381,0.557619048,0.763761905,0.640380952,0.545333333,0.742619048,0.550047619,0,0.52147619,0.45847619,0.676095238,0.527285714,0.557380952,0.77647619,0.791333333,0.820714286,0.591809524,0.488809524,0.644333333,0.735380952,0.527666667,0.714428571,0.750142857,0.652857143,0.704857143,0.542857143,0.54147619,0.68147619,0.543904762,0.775238095,0.649095238,0.934238095,0.577380952,0.780428571,0.679857143,0.680333333,0.742,0.714428571,0.699619048,0.852571429
S30,0.764142857,0.498666667,0.730380952,0.744190476,0.453952381,0.699285714,0.405047619,0.52147619,0,0.499761905,0.63752381,0.457047619,0.581714286,0.772285714,0.677380952,0.74952381,0.517,0.455428571,0.57847619,0.719666667,0.500428571,0.691904762,0.684428571,0.610904762,0.689904762,0.477190476,0.407666667,0.711857143,0.463619048,0.750047619,0.53347619,0.793952381,0.529047619,0.651761905,0.719952381,0.607809524,0.74252381,0.604809524,0.71152381,0.841428571
S8,0.619904762,0.438666667,0.632380952,0.621952381,0.402952381,0.617,0.475428571,0.45847619,0.499761905,0,0.494952381,0.439142857,0.464666667,0.629428571,0.659619048,0.713285714,0.549047619,0.353666667,0.498809524,0.558095238,0.421571429,0.567714286,0.641047619,0.543095238,0.604857143,0.497666667,0.498571429,0.607095238,0.505952381,0.650761905,0.504285714,0.904904762,0.465142857,0.668952381,0.631142857,0.499095238,0.657285714,0.570333333,0.574619048,0.811714286
S33,0.633,0.477238095,0.676619048,0.637333333,0.576142857,0.660809524,0.640190476,0.676095238,0.63752381,0.494952381,0,0.512904762,0.623714286,0.583,0.667,0.632714286,0.72847619,0.508666667,0.531095238,0.514047619,0.594333333,0.548285714,0.64847619,0.67147619,0.547571429,0.688333333,0.649380952,0.59552381,0.691047619,0.542952381,0.590095238,0.889333333,0.525952381,0.657952381,0.531714286,0.383380952,0.54947619,0.495809524,0.526952381,0.699809524
S32,0.729380952,0.481,0.751,0.742952381,0.526285714,0.649190476,0.506619048,0.527285714,0.457047619,0.439142857,0.512904762,0,0.588380952,0.810380952,0.751571429,0.773904762,0.339571429,0.434380952,0.593190476,0.720809524,0.50052381,0.71,0.714761905,0.622809524,0.715428571,0.411809524,0.36952381,0.682571429,0.316666667,0.745285714,0.568952381,0.884761905,0.550047619,0.702619048,0.701095238,0.519714286,0.695285714,0.659571429,0.649571429,0.855761905
