"","sample","sapabund","saprich","pathabund","pathrich","mutabund","mutrich","mpratio","mprich"
"1","S1",14100,82,1111,19,66,23,0.0594059405940594,1.21052631578947
"2","S10",3380,78,172,11,616,28,3.58139534883721,2.54545454545455
"3","S11",6402,81,234,20,470,22,2.00854700854701,1.1
"4","S12",1734,86,340,18,322,20,0.947058823529412,1.11111111111111
"5","S13",2752,68,284,17,39,17,0.137323943661972,1
"6","S14",6241,91,1308,20,346,28,0.264525993883792,1.4
"7","S15",3619,48,143,17,84,17,0.587412587412587,1
"8","S16",840,68,328,17,69,23,0.210365853658537,1.35294117647059
"9","S17",430,35,1556,11,410,29,0.263496143958869,2.63636363636364
"10","S18",3236,88,167,18,64,19,0.383233532934132,1.05555555555556
"11","S19",3181,54,351,15,493,27,1.4045584045584,1.8
"12","S2",13678,72,3012,18,141,26,0.0468127490039841,1.44444444444444
"13","S20",1385,42,453,13,252,15,0.556291390728477,1.15384615384615
"14","S21",4917,41,611,14,51,15,0.0834697217675941,1.07142857142857
"15","S22",816,24,1485,9,81,18,0.0545454545454545,2
"16","S23",1587,45,360,10,216,18,0.6,1.8
"17","S24",37502,60,349,7,9,5,0.0257879656160458,0.714285714285714
"18","S25",6761,55,2893,11,85,10,0.02938126512271,0.909090909090909
"19","S26",23637,64,1568,16,176,23,0.112244897959184,1.4375
"20","S27",4532,45,4274,13,101,15,0.0236312587739822,1.15384615384615
"21","S28",36178,71,988,16,65,6,0.0657894736842105,0.375
"22","S29",10780,45,142,12,379,12,2.66901408450704,1
"23","S3",1020,44,163,7,35,13,0.214723926380368,1.85714285714286
"24","S30",11579,52,20910,9,177,19,0.0084648493543759,2.11111111111111
"25","S31",13077,67,519,11,496,12,0.955684007707129,1.09090909090909
"26","S32",4938,57,317,14,3670,18,11.5772870662461,1.28571428571429
"27","S33",15440,69,2332,18,6430,12,2.75728987993139,0.666666666666667
"28","S34",11037,78,1148,15,31015,15,27.0165505226481,1
"29","S35",5361,81,313,19,808,22,2.5814696485623,1.15789473684211
"30","S36",4295,57,291,17,572,18,1.96563573883162,1.05882352941176
"31","S37",28571,66,477,12,411,15,0.861635220125786,1.25
"32","S38",1672,30,16,7,53,9,3.3125,1.28571428571429
"33","S39",2215,57,20,7,36,11,1.8,1.57142857142857
"34","S4",4287,58,1176,15,93,15,0.0790816326530612,1
"35","S40",3813,77,2366,14,469,17,0.198224852071006,1.21428571428571
"36","S5",31525,56,422,12,40,16,0.0947867298578199,1.33333333333333
"37","S6",4363,56,4471,19,95,24,0.0212480429434131,1.26315789473684
"38","S7",1376,61,256,14,309,20,1.20703125,1.42857142857143
"39","S8",5700,57,177,14,278,22,1.57062146892655,1.57142857142857
"40","S9",2108,70,432,20,329,19,0.761574074074074,0.95
